iter	Passed	Remaining
833	26639	100295
834	26664	100239
835	26692	100191
836	26719	100141
837	26747	100097
838	26781	100072
839	26816	100049
840	26841	99992
841	26866	99936
842	26891	99879
843	26924	99849
844	26949	99794
845	26980	99758
846	27015	99735
847	27055	99735
848	27091	99719
849	27139	99744
850	27174	99725
851	27220	99743
852	27257	99730
853	27297	99727
854	27323	99674
855	27351	99626
856	27386	99605
857	27427	99606
858	27465	99599
859	27505	99597
860	27531	99540
861	27562	99504
862	27594	99473
863	27624	99434
864	27654	99394
865	27686	99366
866	27717	99330
867	27746	99284
868	27773	99237
869	27801	99191
870	27829	99144
871	27856	99094
872	27888	99062
873	27920	99032
874	27948	98984
875	27975	98934
876	28006	98901
877	28040	98874
878	28066	98823
879	28092	98771
880	28129	98755
881	28161	98726
882	28191	98684
883	28222	98650
884	28253	98615
885	28281	98571
886	28317	98553
887	28353	98533
888	28386	98505
889	28414	98460
890	28442	98414
891	28468	98363
892	28496	98317
893	28523	98270
894	28555	98238
895	28598	98244
896	28630	98213
897	28662	98180
898	28693	98146
899	28723	98106
900	28757	98081
901	28791	98057
902	28821	98019
903	28848	97971
904	28877	97927
905	28904	97878
906	28929	97823
907	28960	97791
908	29007	97808
909	29045	97797
910	29083	97785
911	29121	97772
912	29156	97753
913	29202	97768
914	29245	97771
915	29283	97761
916	29318	97738
917	29356	97726
918	29390	97702
919	29423	97674
920	29458	97651
921	29495	97634
922	29523	97590
923	29550	97540
924	29578	97495
925	29604	97444
926	29636	97412
927	29677	97412
928	29722	97421
929	29760	97408
930	29793	97381
931	29836	97384
932	29867	97349
933	29918	97379
934	29960	97380
935	30001	97378
936	30034	97348
937	30069	97323
938	30100	97288
939	30132	97258
940	30171	97246
941	30204	97219
942	30232	97172
943	30267	97151
944	30294	97101
945	30320	97051
946	30349	97009
947	30380	96973
948	30413	96945
949	30441	96899
950	30468	96852
951	30500	96821
952	30528	96775
953	30558	96735
954	30589	96700
955	30622	96671
956	30649	96623
957	30675	96573
958	30708	96545
959	30737	96501
960	30765	96459
961	30795	96418
962	30826	96384
963	30855	96342
964	30879	96286
965	30905	96236
966	30930	96181
967	30957	96133
968	30989	96101
969	31023	96078
970	31072	96096
971	31099	96051
972	31127	96005
973	31160	95978
974	31185	95922
975	31215	95884
976	31246	95850
977	31274	95806
978	31302	95760
979	31331	95719
980	31360	95678
981	31389	95639
982	31420	95603
983	31452	95573
984	31492	95563
985	31518	95513
986	31543	95462
987	31569	95411
988	31596	95364
989	31621	95311
990	31653	95279
991	31686	95251
992	31717	95215
993	31746	95175
994	31773	95127
995	31799	95078
996	31828	95037
997	31856	94993
998	31888	94963
999	31924	94943
1000	31954	94906
1001	31989	94882
1002	32015	94834
1003	32039	94779
1004	32071	94746
1005	32103	94714
1006	32147	94718
1007	32179	94686
1008	32207	94643
1009	32239	94610
1010	32264	94559
1011	32289	94507
1012	32317	94465
1013	32349	94432
