iter	RMSE
863	0.3446597119
864	0.3446153792
865	0.3445555547
866	0.3445198559
867	0.3444471947
868	0.3443520286
869	0.3442891374
870	0.3442454359
871	0.3441415658
872	0.3440851076
873	0.3440399532
874	0.3439360605
875	0.3438194882
876	0.3437550736
877	0.343690225
878	0.3436517993
879	0.3435865452
880	0.34348676
881	0.3434113508
882	0.3433553807
883	0.3432445136
884	0.343007173
885	0.3429184359
886	0.3428653135
887	0.3427949645
888	0.3427371545
889	0.3426496713
890	0.3425158787
891	0.3424799745
892	0.3423895835
893	0.3423538402
894	0.3423283167
895	0.3422935915
896	0.3422049733
897	0.3421328692
898	0.3420331972
899	0.3420048123
900	0.3419600848
901	0.3418850727
902	0.3418295368
903	0.3417747049
904	0.3417134755
905	0.3416082112
906	0.3415569686
907	0.3415098859
908	0.3414307743
909	0.3413909028
910	0.3413429792
911	0.3412825774
912	0.3412367906
913	0.3411952571
914	0.3411521577
915	0.3411028666
916	0.3410435054
917	0.3409623863
918	0.3408854761
919	0.3407726729
920	0.3406770237
921	0.3406035231
922	0.3405499873
923	0.3404963072
924	0.3404401219
925	0.3404078947
926	0.3403606537
927	0.3402817794
928	0.3402372235
929	0.3401821682
930	0.3401445243
931	0.3400822547
932	0.3400375567
933	0.3399320257
934	0.339875358
935	0.3398242898
936	0.3397668633
937	0.3397179914
938	0.3396375914
939	0.3395708726
940	0.3395373294
941	0.339488832
942	0.3393887415
943	0.3393475654
944	0.3392923046
945	0.3392012911
946	0.3391728555
947	0.3390947382
948	0.3390360259
949	0.3389633671
950	0.3388808155
951	0.3388522521
952	0.3387691932
953	0.3386983094
954	0.3386488833
955	0.3385768083
956	0.3385035714
957	0.3384508138
958	0.338357442
959	0.3382921131
960	0.3382304391
961	0.33818468
962	0.3381041381
963	0.3380487625
964	0.3380128416
965	0.3379270476
966	0.3378846934
967	0.3378026337
968	0.3377074392
969	0.3376150714
970	0.3375460384
971	0.3374936028
972	0.3374332675
973	0.3373737411
974	0.337319402
975	0.3372603228
976	0.33719932
977	0.337146707
978	0.3370573179
979	0.3369763922
980	0.3369265657
981	0.3368613799
982	0.3368083163
983	0.3367621678
984	0.3366933861
985	0.3366835721
986	0.336601298
987	0.3365405372
988	0.3364900253
989	0.3364607324
990	0.3364229155
991	0.3363785835
992	0.3363412261
993	0.3362473507
994	0.3361726645
995	0.3361054909
996	0.3360252031
997	0.3359814285
998	0.335916555
999	0.3358641331
1000	0.3358018987
1001	0.3357610105
1002	0.3356780322
1003	0.3356246188
1004	0.3355662603
1005	0.3355123302
1006	0.3354768147
1007	0.3353616043
1008	0.335335152
1009	0.3352886419
1010	0.3351953954
1011	0.3350840058
1012	0.3349868285
1013	0.3348888604
1014	0.3348263246
1015	0.3347881138
1016	0.3347407467
1017	0.334690288
1018	0.3345938092
1019	0.3345199767
1020	0.3344885153
1021	0.334457717
1022	0.3343608669
1023	0.3343028931
1024	0.3342559437
1025	0.3342180517
1026	0.3341901258
1027	0.3341259637
1028	0.3340831719
1029	0.3340560768
1030	0.3340027874
1031	0.3338896777
1032	0.333820415
1033	0.3337470496
1034	0.333656221
1035	0.3335567987
1036	0.3334641272
1037	0.3334094099
1038	0.3333463064
1039	0.3333153664
1040	0.3332411897
1041	0.3332036151
1042	0.3331649352
1043	0.3331174847
1044	0.3330623898
1045	0.3330377405
1046	0.3328848786
1047	0.3328159688
1048	0.3327352858
1049	0.332687081
1050	0.3326473955
1051	0.3325619664
1052	0.3325107195
1053	0.3324611001
1054	0.3324057779
1055	0.3323440933
1056	0.3322766129
1057	0.3322201978
1058	0.3321880949
1059	0.332113864
1060	0.3320121728
1061	0.3319665919
1062	0.3319266421
1063	0.331831103
1064	0.3317758213
1065	0.3317387173
1066	0.3316833944
1067	0.3316662382
1068	0.3316101565
1069	0.3315623483
1070	0.3315412206
1071	0.331414327
1072	0.3313628667
1073	0.3313209481
1074	0.3312237348
1075	0.3311764275
1076	0.3311428996
1077	0.3310388683
1078	0.3309825944
1079	0.3309403959
1080	0.3308795203
1081	0.330822504
1082	0.3307512075
1083	0.3306802753
1084	0.330631675
1085	0.3305583581
1086	0.3304687608
1087	0.3304282275
1088	0.3303592223
1089	0.3302986445
1090	0.3302335927
1091	0.3301533728
1092	0.3301085716
1093	0.3300152863
1094	0.3299533932
1095	0.3298834927
1096	0.3298392267
1097	0.3297790024
1098	0.3297168386
1099	0.3296778813
1100	0.3296395755
1101	0.3295755048
1102	0.3295141618
1103	0.3294605352
1104	0.329407706
1105	0.3293308979
1106	0.3292875829
1107	0.329222049
1108	0.3291533212
1109	0.3290898864
1110	0.3290523185
1111	0.3289987293
1112	0.3289447615
1113	0.3289013152
1114	0.3288552218
